,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
1,0022300022,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,104.3,102.8,123.1,126.0,-18.7,-23.2,0.658,1.25,17.1,0.352,0.714,0.524,18.968,18.7,0.5,0.542,1.0,0.199,105.94,105.5,87.92,107.0,0.382
0,0022300023,1610612762,Utah,Jazz,UTA,jazz,240:00,116.6,113.9,98.2,98.0,18.4,15.8,0.591,2.0,18.5,0.333,0.698,0.519,13.185,12.9,0.532,0.566,1.0,0.199,99.7,101.0,84.17,101.0,0.599
1,0022300023,1610612757,Portland,Trail Blazers,POR,blazers,240:00,98.2,98.0,116.6,113.9,-18.4,-15.8,0.622,1.35,16.8,0.302,0.667,0.481,16.865,16.8,0.483,0.511,1.0,0.2,99.7,101.0,84.17,101.0,0.401
0,0022300024,1610612743,Denver,Nuggets,DEN,nuggets,240:00,116.7,118.1,115.4,113.7,1.3,4.4,0.667,1.86,20.5,0.243,0.68,0.494,14.724,14.9,0.589,0.637,1.0,0.202,94.32,94.5,78.75,94.0,0.536
1,0022300024,1610612746,LA,Clippers,LAC,clippers,240:00,115.4,113.7,116.7,118.1,-1.3,-4.4,0.568,1.91,16.3,0.32,0.757,0.506,11.757,11.6,0.506,0.559,1.0,0.199,94.32,94.5,78.75,95.0,0.464
0,0022300025,1610612744,Golden State,Warriors,GSW,warriors,240:00,99.0,103.1,102.7,104.0,-3.7,-0.9,0.757,1.4,19.6,0.308,0.745,0.515,19.6,20.4,0.494,0.531,1.0,0.195,101.64,99.0,82.5,98.0,0.487
1,0022300025,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,102.7,104.0,99.0,103.1,3.7,0.9,0.667,1.2,17.9,0.255,0.692,0.485,19.755,20.0,0.531,0.576,1.0,0.194,101.64,99.0,82.5,100.0,0.513
0,0022300026,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,133.3,138.1,99.7,109.2,33.5,29.0,0.638,1.58,21.3,0.444,0.676,0.596,18.894,19.6,0.716,0.732,1.0,0.199,103.92,97.5,81.25,97.0,0.652
1,0022300026,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,99.7,109.2,133.3,138.1,-33.5,-29.0,0.718,3.11,18.9,0.324,0.556,0.404,8.389,9.2,0.462,0.481,1.0,0.195,103.92,97.5,81.25,98.0,0.348
0,0022300027,1610612766,Charlotte,Hornets,CHA,hornets,240:00,95.5,96.1,125.3,126.2,-29.9,-30.1,0.486,1.5,13.8,0.193,0.857,0.475,11.574,11.7,0.44,0.492,1.0,0.199,103.7,103.0,85.83,103.0,0.36
